region,name,category,lat,lon,rating,kinds
Beijing,Changpuhe Park,nature_wildlife,39.90719223022461,116.3987808227539,2,"urban_environment,gardens_and_parks,cultural,interesting_places"
Beijing,Dongdan Gongyuan,nature_wildlife,39.90521240234375,116.41717529296875,2,"gardens_and_parks,cultural,urban_environment,interesting_places"
Shanghai,People's Park,nature_wildlife,31.2340087890625,121.46880340576172,3,"urban_environment,gardens_and_parks,cultural,interesting_places"
Yunnan,Daguan Park,nature_wildlife,25.02916717529297,102.67361450195312,2,"gardens_and_parks,cultural,urban_environment,interesting_places"
Yunnan,World Horti-Expo Garden,nature_wildlife,25.07156753540039,102.7593765258789,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
Sichuan,People's Park,nature_wildlife,30.65708351135254,104.05722045898438,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
Sichuan,Jardín botánico subalpino del occidente de China,nature_wildlife,30.660999298095703,104.08200073242188,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
Sichuan,Tazishan Park,nature_wildlife,30.636802673339844,104.12138366699219,2,"urban_environment,gardens_and_parks,cultural,interesting_places"
Guilin,Elephant Trunk Hill Park,nature_wildlife,25.271615982055664,110.29188537597656,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
Guilin,West Hill Park,nature_wildlife,25.285993576049805,110.27188873291016,2,"urban_environment,gardens_and_parks,cultural,interesting_places"
Guilin,Yu Hill Park,nature_wildlife,25.301651000976562,110.29714965820312,2,"urban_environment,gardens_and_parks,cultural,interesting_places"
Guilin,芦笛公园,nature_wildlife,25.308101654052734,110.26654052734375,2,"gardens_and_parks,cultural,urban_environment,interesting_places"
Guilin,Reed Flute Cave,nature_wildlife,25.31212615966797,110.26695251464844,2,"gardens_and_parks,cultural,urban_environment,interesting_places"
Hainan,Haikou People's Park,nature_wildlife,20.03585433959961,110.33934020996094,3,"urban_environment,gardens_and_parks,cultural,interesting_places"
Hainan,Binhai Park,nature_wildlife,20.040170669555664,110.32386779785156,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
Hainan,Century Park,nature_wildlife,20.047182083129883,110.31629180908203,3,"urban_environment,gardens_and_parks,cultural,interesting_places"
Hainan,Baishamen Park,nature_wildlife,20.074005126953125,110.33129119873047,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
Hainan,Evergreen Park,nature_wildlife,20.03537368774414,110.31041717529297,3,"urban_environment,gardens_and_parks,cultural,interesting_places"
Hainan,Hainan International Friendship Park,nature_wildlife,20.03363609313965,110.37568664550781,2,"gardens_and_parks,cultural,urban_environment,interesting_places"
Hainan,Evergreen Park,nature_wildlife,20.034679412841797,110.30583190917969,3,"urban_environment,gardens_and_parks,cultural,interesting_places"
Hainan,Golden Bull Mountain Ridge Park,nature_wildlife,20.011371612548828,110.31295776367188,3,"urban_environment,gardens_and_parks,cultural,interesting_places"
Hainan,Golden Bull Mountain Ridge Park,nature_wildlife,20.011598587036133,110.31230926513672,3,"urban_environment,gardens_and_parks,cultural,interesting_places"
Hainan,Meishe River National Wetland Park,nature_wildlife,19.980199813842773,110.35649871826172,2,"gardens_and_parks,cultural,urban_environment,interesting_places"
Tibet,Lalu Wetlands National Nature Preserve,nature_wildlife,29.672199249267578,91.0907974243164,2,"interesting_places,natural,nature_reserves,other_nature_conservation_areas"
Hangzhou,"Huajiachi Botanical Garden, Zhejiang University",nature_wildlife,30.265899658203125,120.15899658203125,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
Hangzhou,Hangzhou Botanical Garden,nature_wildlife,30.272199630737305,120.1709976196289,3,"gardens_and_parks,cultural,urban_environment,interesting_places"
